w_R,w_P,w_U,a,b,N,R,P,U,G
0.04,0.92,0.04,0.2085345033639461,4.5,2.0,0.7596784385133786,0.0764618906386777,0.779839814142335,0.11851944592328696
0.04,0.94,0.02,0.2085291256626417,4.5,2.0,0.7596784382361178,0.0764621029321138,0.7798404008506056,0.1185184626548267
0.04,0.96,0.0,0.2085291256626417,4.5,2.0,0.7596784382361178,0.0764621029321138,0.7798404008506056,0.1185174793614629
0.06,0.0,0.94,0.2345,3.37875,4.0,0.735623988111366,0.1145715368368935,0.7729376790299982,0.06938782918743198
0.06,0.02,0.92,0.2345,3.37875,4.0,0.735623988111366,0.1145715368368935,0.7729376790299982,0.06939048604970179
0.06,0.04,0.9,0.2345,3.375,4.0,0.7355591639617641,0.1147181193146996,0.7729904258816611,0.06910135565300686
0.06,0.06,0.88,0.2185,3.435,4.0,0.7369278051500601,0.1105198181284865,0.7730507056999854,0.07527073883710818
0.06,0.08,0.86,0.215,3.56625,4.0,0.7393433015797034,0.1056483989888793,0.7725832580434165,0.0861537315176133
0.06,0.1,0.84,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.09402912635695615
0.06,0.12,0.82,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.09402981352951333
0.06,0.14,0.8,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.09403050070207049
0.06,0.16,0.78,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.09403118787462766
0.06,0.18,0.76,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.09403187503762729
0.06,0.2,0.74,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.09403256218991914
0.06,0.22,0.72,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.09403324934221097
0.06,0.24,0.7,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.09403393649450281
0.06,0.26,0.68,0.227595954792372,4.5,4.0,0.7410930682550355,0.0855398110327547,0.7718154435762953,0.09403462364679466
0.06,0.28,0.66,0.2253158092371337,4.5,4.0,0.7411014316643632,0.0852733607401155,0.7717871478664611,0.0940726087786022
0.06,0.3,0.64,0.2195,4.5,4.0,0.7411952233941057,0.0846576471632514,0.7719058737424537,0.09449572661329252
0.06,0.32,0.62,0.2145,4.5,4.0,0.7413547342937139,0.0841972661097214,0.7722148111885598,0.09521578864476678
0.06,0.34,0.6,0.2095,4.5,4.0,0.7415823165054332,0.0837956982689129,0.7727011760842273,0.0962431884233634
0.06,0.36,0.58,0.205,4.5,4.0,0.7418415357604391,0.0834806933885203,0.7732797601837079,0.09741461560811472
0.06,0.38,0.56,0.2001076557336187,4.5,4.0,0.7421777631609972,0.0831839658870201,0.7740486206938462,0.09893116374623878
0.06,0.4,0.54,0.1965,4.5,4.0,0.7424595613392612,0.0829931876590516,0.7747019266410471,0.1011511348754249
0.06,0.42,0.52,0.195,4.5,4.0,0.7425847177400824,0.082920389375085,0.7749937913807068,0.10509660830949102
0.06,0.44,0.5,0.1937321373565153,4.5,4.0,0.7426940273831892,0.0828617054514858,0.7752493631058034,0.10916181780142459
0.06,0.46,0.48,0.1924021291652183,4.499999999999999,4.0,0.742812075965252,0.0828028608050109,0.775525952902843,0.11313899114957691
0.06,0.48,0.46,0.191,4.5,4.0,0.7429401803434353,0.0827437403192914,0.775826687004829,0.1170257702945718
0.06,0.5,0.44,0.1896398884304693,4.5,4.0,0.743067935471177,0.0826891541541741,0.7761271096661112,0.1209089217601313
0.06,0.52,0.42,0.188,4.5,4.0,0.7432264066824954,0.0826268216604863,0.7765003441512085,0.12466482353428705
0.06,0.54,0.4,0.1865,4.5,4.0,0.7433754770452919,0.0825730073263918,0.7768519142591893,0.12830021799115143
0.06,0.56,0.38,0.1846888323284197,4.5,4.0,0.7435605316618681,0.0825119194939262,0.7772888509128091,0.1318078478128665
0.06,0.58,0.36,0.1829185377142079,4.5,4.0,0.7437465622031689,0.0824561212461605,0.7777285100592787,0.1353380793675365
0.06,0.6,0.34,0.181,4.5,4.0,0.7439536827427639,0.0823997724838526,0.7782183503876573,0.13877515290591294
0.06,0.62,0.32,0.178741659237187,4.5,4.0,0.7442044897637509,0.0823385864152302,0.7788117805121816,0.14202132695831277
0.06,0.64,0.3,0.1765,4.5,4.0,0.7444605348108027,0.0822829469950889,0.7794176939716567,0.14530746175103407
0.06,0.66,0.28,0.174,4.5,4.0,0.7447539108802396,0.0822263630711165,0.7801118051713232,0.14849002709974352
