seed,N,generation,min_R,min_P,min_U
202614,4,50,0.7305861480051971,0.0803730898653527,0.7717866951970421
202614,6,1,0.7300941907056069,0.08423031629596314,0.7859236714963524
202614,6,11,0.7297404126148882,0.08423031629596314,0.7857732396633731
202614,6,21,0.7297404126148882,0.08423031629596314,0.7857732396633731
202614,6,31,0.7297370999571671,0.08423031629596314,0.7857732396633731
202614,6,41,0.7297369206526085,0.08423031629596314,0.7857731736781367
202614,6,50,0.7297369206526085,0.08423031629596314,0.7857731736781367
202614,8,1,0.7280707013261672,0.09259924076490883,0.8050858399311467
202614,8,11,0.727814027156459,0.0886106334225494,0.8046936732155876
202614,8,21,0.7278121847438953,0.0886106334225494,0.8046927859468608
