response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
R,4,17,3,16,1e-08,4.477781954850179e-07,8.634199022097868e-06,7.991259501904935e-07
R,4,18,3,16,1e-05,6.371933563266672e-07,1.2286561314410958e-05,1.6786776393384883e-06
R,4,19,3,16,1e-05,2.979813803736573e-07,5.745770046348066e-06,6.25279346189167e-07
R,4,20,4,16,1e-08,5.995988140313494e-07,1.1561651607785212e-05,1.1785164379940483e-06
R,4,21,4,16,1e-08,6.181457781562346e-07,1.1919279962905344e-05,1.6664026305512891e-06
R,4,22,4,16,1e-08,2.856093864030068e-07,5.507209394400543e-06,6.299246002594572e-07
R,4,23,4,16,1e-08,3.543135045055835e-07,6.8319836583479524e-06,6.761981794500826e-07
R,4,24,4,16,1e-05,5.283467444333129e-07,1.0187746947288182e-05,1.2859656141062104e-06
R,4,25,5,16,1e-07,4.4956042105380353e-07,8.668564452166428e-06,1.0579426826806682e-06
R,4,26,5,16,1e-08,7.676260940495616e-07,1.4801606101879272e-05,1.3161873608780184e-06
R,4,27,5,16,1e-08,4.978906076325486e-07,9.60048220498155e-06,1.3517292816178639e-06
R,4,28,5,16,1e-05,4.3233193302111646e-07,8.336359364862152e-06,1.0866466245706974e-06
R,4,29,5,16,1e-08,3.0037059088937475e-07,5.791839549745946e-06,5.307676986809895e-07
R,4,30,6,16,1e-08,4.382864528340588e-07,8.451176275699628e-06,8.516384447654346e-07
R,4,31,6,16,1e-05,5.595968878480117e-07,1.0790321973120674e-05,1.1436169293776999e-06
R,4,32,6,16,1e-06,3.5388282463795246e-07,6.82367915462394e-06,6.817675540782275e-07
R,4,33,6,16,1e-05,4.2192952715978323e-07,8.135776926009581e-06,8.804000547479873e-07
R,4,34,6,16,1e-08,4.403360038850146e-07,8.49069635921047e-06,1.025799644893688e-06
R,4,35,7,16,1e-05,4.603639232922876e-07,8.876880956639617e-06,7.871189462438366e-07
R,4,36,7,16,1e-05,4.404177062633163e-07,8.492271769987388e-06,1.0579452771608544e-06
R,4,37,7,16,1e-06,4.025802561730562e-07,7.762678239390985e-06,8.105393313195819e-07
R,4,38,7,16,1e-06,4.6993245553856413e-07,9.061384383998838e-06,9.045033732002494e-07
R,4,39,7,16,1e-08,6.233406097492179e-07,1.2019448328208428e-05,1.317444145443325e-06
R,4,40,8,16,1e-05,4.928639810148096e-07,9.503557220547409e-06,9.430266140197929e-07
R,4,41,8,16,1e-05,4.6783800771255276e-07,9.020998586848544e-06,8.132215414402566e-07
R,4,42,8,16,1e-06,4.2490027901389796e-07,8.19305989113009e-06,9.1771918275807e-07
R,4,43,8,16,1e-05,3.9842101036586307e-07,7.682478362659084e-06,8.918326944717947e-07
R,4,44,8,16,1e-08,4.7213454547442697e-07,9.103845769931674e-06,1.3226490923612388e-06
R,4,45,9,16,1e-08,4.4362675317659513e-07,8.554149614866562e-06,1.2610649012811948e-06
R,4,46,9,16,1e-05,4.3311055945577716e-07,8.351373082967486e-06,7.899623696294711e-07
R,4,47,9,16,1e-06,4.581974881274556e-07,8.835107077138027e-06,7.577295514371585e-07
R,4,48,9,16,1e-05,6.788298643011772e-07,1.3089409465709812e-05,1.9943397744359714e-06
R,4,49,9,16,1e-08,5.388998152745417e-07,1.039123455534103e-05,1.3592317701371925e-06
P,2,0,0,16,0.1,0.0029058622287174525,0.022816129308397083,0.00559025670458016
P,2,1,0,16,1e-08,0.002465424776061104,0.019357920666308922,0.005218793605579003
P,2,2,0,16,0.1,0.0030495125777838575,0.023944037199936066,0.0053615512339454385
P,2,3,0,16,1e-08,0.003398989839274888,0.026688048361140766,0.0066438549008034364
