method,b,R,P,U,dominated_by_pin_pareto,points,dominated_points,minimum_dominance_margin
pchip,4.16775,0.7690540368807066,0.08506099515694968,0.8393157878007568,True,,,
pchip,4.1685,0.7690584649305401,0.08504546748768273,0.839323521252842,True,,,
pchip,4.16925,0.7690628857875085,0.08502994706929853,0.8393312826240702,True,,,
pchip,4.17,0.7690672994388638,0.08501443390825075,0.839339071856,True,,,
pchip,4.17075,0.7690717058718585,0.08499892801099299,0.8393468888901897,True,,,
pchip,4.1715,0.769076105073745,0.08498342938397893,0.839354733668198,True,,,
pchip,4.17225,0.7690804970317761,0.0849679380336622,0.8393626061315832,True,,,
pchip,4.173,0.7690848817332038,0.08495245396649644,0.839370506221904,True,,,
pchip,4.17375,0.7690892591652805,0.08493697718893531,0.8393784338807188,True,,,
pchip,4.1745,0.7690936293152589,0.08492150770743241,0.839386389049586,True,,,
pchip,4.17525,0.7690979921703911,0.08490604552844142,0.8393943716700643,True,,,
pchip,4.176,0.76910234771793,0.08489059065841598,0.839402381683712,True,,,
pchip,4.17675,0.7691066959451276,0.08487514310380971,0.8394104190320877,True,,,
pchip,4.1775,0.7691110368392363,0.08485970287107628,0.83941848365675,True,,,
pchip,4.17825,0.7691153703875089,0.08484426996666931,0.8394265754992573,True,,,
pchip,4.179,0.7691196965771974,0.08482884439704245,0.8394346945011679,True,,,
pchip,4.17975,0.7691240153955545,0.08481342616864936,0.8394428406040407,True,,,
pchip,4.1805,0.7691283268298326,0.08479801528794366,0.839451013749434,True,,,
pchip,4.18125,0.769132630867284,0.084782611761379,0.8394592138789062,True,,,
pchip,4.182,0.7691369274951612,0.08476721559540902,0.8394674409340159,True,,,
pchip,4.18275,0.7691412167007166,0.08475182679648736,0.8394756948563217,True,,,
pchip,4.1835,0.7691454984712025,0.08473644537106768,0.839483975587382,True,,,
pchip,4.1842500000000005,0.7691497727938713,0.08472107132560362,0.8394922830687552,True,,,
pchip,4.1850000000000005,0.7691540396559758,0.08470570466654881,0.839500617242,True,,,
pchip,4.1857500000000005,0.7691582990447682,0.08469034540035689,0.8395089780486747,True,,,
pchip,4.1865000000000006,0.7691625509475009,0.08467499353348151,0.8395173654303381,True,,,
pchip,4.18725,0.7691667953514262,0.08465964907237634,0.8395257793285482,True,,,
pchip,4.188,0.7691710322437967,0.08464431202349496,0.839534219684864,True,,,
pchip,4.18875,0.7691752616118648,0.08462898239329106,0.8395426864408436,True,,,
pchip,4.1895,0.7691794834428828,0.08461366018821827,0.839551179538046,True,,,
pchip,4.19025,0.7691836977241032,0.08459834541473023,0.8395596989180293,True,,,
pchip,4.191,0.7691879044427784,0.08458303807928058,0.8395682445223519,True,,,
pchip,4.19175,0.769192103586161,0.08456773818832297,0.8395768162925727,True,,,
pchip,4.1925,0.7691962951415032,0.08455244574831104,0.83958541417025,True,,,
pchip,4.19325,0.7692004790960574,0.08453716076569842,0.8395940380969422,True,,,
pchip,4.194,0.7692046554370762,0.0845218832469388,0.8396026880142079,True,,,
pchip,4.19475,0.7692088241518118,0.08450661319848576,0.8396113638636057,True,,,
pchip,4.1955,0.7692129852275168,0.084491350626793,0.839620065586694,True,,,
pchip,4.19625,0.7692171386514437,0.0844760955383141,0.8396287931250312,True,,,
pchip,4.197,0.7692212844108447,0.08446084793950276,0.839637546420176,True,,,
pchip,4.19775,0.7692254224929723,0.08444560783681258,0.8396463254136867,True,,,
