a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.105,4.225,8.0,1.9330601705679784,2.1546403940687737,2.019275926660854,2.301097926256348,2.2535466192659723,2.508888596792665,1.0474950369845992,0.9573349433977727
0.105,4.225,10.0,2.0392835516666667,2.087540309918474,2.1238448498494806,2.2235356944538918,2.3597158251848276,2.4298128757989557,1.07203605297995,0.9728721889410569
0.105,4.34375,2.0,2.097170817365471,2.0972512999822652,2.1867319994711623,2.186809490505964,2.4220755791142805,2.422148895157503,1.1299233186787543,0.9976146847284485
0.105,4.34375,4.0,1.812599195205645,1.8126788288828828,1.900766526264604,1.9008433115454564,2.133053416167251,2.1331256216897625,0.8453516965189284,0.7110944877549411
0.105,4.34375,6.0,1.8087517876636465,1.844508251485654,1.896200071769802,1.97551055358713,2.1287882817291557,2.179610986022276,0.8415042889769299,0.7344783265052848
0.105,4.34375,8.0,1.9491322700883695,2.205822936492494,2.0359278110074035,2.3526379303110376,2.270385456533737,2.561290816375323,1.0990350410392888,0.991449541263735
0.105,4.34375,10.0,2.097804000674576,2.1499665240787924,2.183025695736598,2.287710734867024,2.4195955863677368,2.4949665012213345,1.1305565019878592,1.0344281782866842
0.105,4.4625,2.0,2.0558232801531755,2.055903572724228,2.145872929972413,2.145950151978761,2.380680942139513,2.380753506240709,1.0885757814664587,0.9564140683304739
0.105,4.4625,4.0,1.767820389699095,1.767899644995659,1.8559605735148899,1.8560373007567033,2.0877493219075607,2.0878215059917706,0.8005728910123783,0.6661314606066204
0.105,4.4625,6.0,1.7763464049881996,1.8483795358976305,1.8636134699417046,1.990269012481065,2.095953206269637,2.1953449549189648,0.809098906301483,0.7239011018785412
0.105,4.4625,8.0,1.94483018110508,2.238805246928612,2.032030395755309,2.3859479817548515,2.2664536859214546,2.595171354640875,1.1323450924831027,1.006123145480038
0.105,4.4625,10.0,2.137932819527802,2.1954321674176898,2.22391961511256,2.3354470525230004,2.460984876582121,2.5434154710548693,1.170685320841085,1.0784386714986811
0.120833333333,3.0375,2.0,1.579869280792134,2.2233209997748906,1.7526135099530316,2.368605145466663,2.0212590000503394,2.5782554078491278,1.115002256194914,0.8495705617767051
0.120833333333,3.0375,4.0,1.4597156807467333,1.8757069791703493,1.5470717199435324,2.018182066080625,1.7916752378922889,2.2238955535640446,0.7645791768088761,0.581624544028603
0.120833333333,3.0375,6.0,1.4689240434063857,2.0977693161078594,1.6340085006184921,2.241868543636202,1.9012333596696798,2.450219219680089,0.9882656543644532,0.7279205016487923
0.120833333333,3.0375,8.0,1.7112022073570887,2.406125810019093,1.9189331907942728,2.5527283581854254,2.17898429824865,2.7642230636605096,1.2991254689136766,1.017616159173181
